title|publisher|eissn|pissn|doajid|categories|language
Acta Acustica|EDP Sciences|2681-4617||5f0e13147bff461c84a8c1037d39a13c|Acoustics in engineering. Acoustical engineering#Acoustics. Sound|EN
Adsorption Science & Technology|SAGE Publishing|2048-4038|0263-6174|0717c4a8661b460d917559af2f7592a2|Physical and theoretical chemistry|EN
Advanced Science|Wiley|2198-3844||12576ad4e52044b08510c86120dad6eb|Science|EN
Advances in Astronomy|Hindawi Limited|1687-7977|1687-7969|77f5de55948a444f81b838436e0b14cb|Astronomy|EN
Advances in Condensed Matter Physics|Hindawi Limited|1687-8124|1687-8108|dc71831a25644a5eae44b1305582c389|Physics|EN
Advances in High Energy Physics|Hindawi Limited|1687-7365|1687-7357|cd8d6a4de00d4119ab53f45c44fc9c32|Physics|EN
Advances in Mathematical Physics |Hindawi Limited|1687-9139|1687-9120|be3c82ff6f6f463eaacf86155866d1d2|Physics|EN
ADVANCES IN PHYSICS-X ||||||
AIMS Biophysics|AIMS Press||2377-9098|ae38c8ad56e449a9a9b523549f392850|Biology (General)|EN
AIP Advances|AIP Publishing LLC|2158-3226||923c06702a2c418c9dff78eec6ba54d7|Physics|EN
Anales (Asociación Física Argentina)|CEILAP-UNIDEF-CONICET-CITEDEF|1850-1168|0327-358X|048255888bc34e92be2ef096f694f152|Physics|ES
Annales Geophysicae|Copernicus Publications|1432-0576|0992-7689|c8d09e29c8de4cb681da8e3d1fe5af58|Science#Physics#Geophysics. Cosmic physics|EN
Annals of Geophysics|Istituto Nazionale di Geofisica e Vulcanologia (INGV)|2037-416X|1593-5213|2a214b7491ab4c8f8cee0d26407b7e5d|Meteorology. Climatology#Geophysics. Cosmic physics|EN
APL Materials|AIP Publishing LLC|2166-532X||3b6cbc2328704b628aa145e0ed2bed14|Biotechnology#Physics|EN
APL Photonics|AIP Publishing LLC|2378-0967||690d562f98fc450d8556d982d58169e3|Applied optics. Photonics|EN
Applied Rheology|De Gruyter|1617-8106||3ce3517f863c4285a64a17cc939f67a3|Materials of engineering and construction. Mechanics of materials|EN
Applied Sciences|MDPI AG||2076-3417|06b1b003af9c4e6e9323930c4fd7279a|Technology#Engineering (General). Civil engineering (General)#Biology (General)#Physics#Chemistry|EN
Atmospheric Science Letters|Wiley|1530-261X||c0ea8844942543babf4ed92a0da9d386|Meteorology. Climatology|EN
